gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3858509549	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/201546626/original.jpeg	https://www.inaturalist.org/photos/201546626					2022-05-29T04:29:30Z	ivankasamoylovich		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ivankasamoylovich
3858509549	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/201546539/original.jpeg	https://www.inaturalist.org/photos/201546539					2022-05-29T04:29:36Z	ivankasamoylovich		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ivankasamoylovich
3858454057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/204688258/original.jpeg	https://www.inaturalist.org/photos/204688258					2022-06-10T02:02:44Z	Daria Zhabina		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daria Zhabina
3858454057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/204688233/original.jpeg	https://www.inaturalist.org/photos/204688233					2022-06-10T02:02:21Z	Daria Zhabina		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daria Zhabina
3858454057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/204688288/original.jpeg	https://www.inaturalist.org/photos/204688288					2022-06-10T02:02:26Z	Daria Zhabina		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daria Zhabina
3858454057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/204688308/original.jpeg	https://www.inaturalist.org/photos/204688308					2022-06-10T02:02:42Z	Daria Zhabina		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daria Zhabina
3858422073	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/202694495/original.jpg	https://www.inaturalist.org/photos/202694495					2022-06-02T14:43:20Z	tjagger914		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tjagger914
3802799428	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/200064637/original.jpg	https://www.inaturalist.org/photos/200064637					2022-05-24T03:10:14Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3802635136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/200505742/original.jpg	https://www.inaturalist.org/photos/200505742					2022-05-24T15:36:47Z	tomratz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tomratz
3802382167	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/199886623/original.jpeg	https://www.inaturalist.org/photos/199886623					2013-07-11T20:08:00Z	Noon Vichitra		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Noon Vichitra
3785110699	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198631484/original.jpg	https://www.inaturalist.org/photos/198631484					2022-05-18T20:28:54Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3784958711	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198606505/original.jpg	https://www.inaturalist.org/photos/198606505					2022-05-18T12:06:13Z	mishuge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mishuge
3784958711	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198606462/original.jpg	https://www.inaturalist.org/photos/198606462					2022-05-18T12:06:13Z	mishuge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mishuge
3784958711	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198606486/original.jpg	https://www.inaturalist.org/photos/198606486					2022-05-18T12:06:13Z	mishuge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mishuge
3784907870	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/197643924/original.jpg	https://www.inaturalist.org/photos/197643924					2022-05-14T10:21:00Z	Pål A. Olsvik		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Pål A. Olsvik
3784890952	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198256454/original.jpg	https://www.inaturalist.org/photos/198256454					2022-05-17T09:23:47Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3784852327	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198256454/original.jpg	https://www.inaturalist.org/photos/198256454					2022-05-17T09:23:47Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3773791850	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195000815/original.jpg	https://www.inaturalist.org/photos/195000815					2022-05-05T08:37:52Z	richardlitt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	richardlitt
3773774510	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193078990/original.jpeg	https://www.inaturalist.org/photos/193078990					2022-04-11T18:38:50Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
3773764345	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/194709499/original.jpeg	https://www.inaturalist.org/photos/194709499					2022-04-13T17:43:45Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
3773764345	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/194709582/original.jpeg	https://www.inaturalist.org/photos/194709582					2022-04-13T17:46:14Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
3773743844	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193809191/original.jpeg	https://www.inaturalist.org/photos/193809191					2022-04-12T19:41:11Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
3773735105	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/196531509/original.jpeg	https://www.inaturalist.org/photos/196531509					2022-05-10T20:07:18Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3773735105	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/196531540/original.jpeg	https://www.inaturalist.org/photos/196531540					2022-05-10T20:07:16Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3773668552	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/194708614/original.jpeg	https://www.inaturalist.org/photos/194708614					2022-04-13T17:36:35Z	Christoph Moning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Christoph Moning
